scope,entity,metric,value,unit,interpretation
global,7v,completion_rate,1.0,fraction,"7 cameras × 299 frames are present"
global,7v,total_rgb_frames,2093,frames,"Final package intentionally contains videos and selected frames, not all PNGs"
global,7v,per_camera_resolution,1920x1080,pixels,"Direct target-camera 2DGS rasterization"
global,7v,fps,30,fps,"All source MP4 streams"
global,7v,duration,9.966667,seconds,"299/30 seconds"
static_geometry,road_lidar_holdout,valid_pixels,6067229,pixels,"Independent proxy-domain road pixels"
static_geometry,road_lidar_holdout,lidar_depth_mae,1.067868,m,"Same static 2DGS model used by delivery"
static_geometry,road_lidar_holdout,lidar_depth_median,0.253191,m,"Robust central road-depth error"
static_geometry,road_lidar_holdout,lidar_depth_p90,1.997339,m,"Road-depth tail error"
target_composite,front_center,outside_actor_rgb_mae,0.000000774,rgb,"1080p composite safety; not target-view truth"
target_composite,front_center,adjacent_actor_alpha_iou_mean,0.883610,fraction,"1080p temporal proxy"
target_composite,front_left,outside_actor_rgb_mae,0.000000229,rgb,"1080p composite safety; not target-view truth"
target_composite,front_left,adjacent_actor_alpha_iou_mean,0.796156,fraction,"1080p temporal proxy"
target_composite,front_right,outside_actor_rgb_mae,0.000001794,rgb,"1080p composite safety; not target-view truth"
target_composite,front_right,adjacent_actor_alpha_iou_mean,0.811464,fraction,"1080p temporal proxy"
target_composite,side_left,outside_actor_rgb_mae,0.000000201,rgb,"1080p composite safety; not target-view truth"
target_composite,side_left,adjacent_actor_alpha_iou_mean,0.631412,fraction,"1080p temporal proxy"
target_composite,side_right,outside_actor_rgb_mae,0.000002880,rgb,"1080p composite safety; not target-view truth"
target_composite,side_right,adjacent_actor_alpha_iou_mean,0.706673,fraction,"1080p temporal proxy"
target_composite,rear_left,outside_actor_rgb_mae,0.000000030,rgb,"1080p composite safety; not target-view truth"
target_composite,rear_left,adjacent_actor_alpha_iou_mean,0.720364,fraction,"1080p temporal proxy"
target_composite,rear_right,outside_actor_rgb_mae,0.000001123,rgb,"1080p composite safety; not target-view truth"
target_composite,rear_right,adjacent_actor_alpha_iou_mean,0.479380,fraction,"1080p temporal proxy"
